base_word,pos_kr,pos_tag,level,homonym
쇼핑,명사,Noun,1,False
수박,명사,Noun,1,False
수업,명사,Noun,1,False
수영,명사,Noun,1,False
수영장,명사,Noun,1,False
수요일,명사,Noun,1,False
수첩,명사,Noun,1,False
숙제,명사,Noun,1,False
술,명사,Noun,1,False
쉬다,동사,Verb,1,False
쉽다,형용사,Adjective,1,False
슈퍼마켓,명사,Noun,1,False
스물,수사,Noun,1,False
스키,명사,Noun,1,False
슬프다,형용사,Adjective,1,False
시,명사,Noun,1,True
시,의존명사,Noun,1,True
시간,명사,Noun,1,True
시간,의존명사,Noun,1,True
시다,형용사,Adjective,1,False
시원하다,형용사,Adjective,1,False
시월,명사,Noun,1,False
시작,명사,Noun,1,False
시장,명사,Noun,1,False
시청,명사,Noun,1,False
시키다,동사,Verb,1,False
시험,명사,Noun,1,False
식당,명사,Noun,1,False
식사,명사,Noun,1,False
신다,동사,Verb,1,False
신문,명사,Noun,1,False
신발,명사,Noun,1,False
실례,명사,Noun,1,False
싫다,형용사,Adjective,1,False
싫어하다,동사,Verb,1,False
십,관형사,Determiner,1,False
십,수사,Noun,1,False
십만,관형사,Determiner,1,False
십만,수사,Noun,1,False
십이월,명사,Noun,1,False
십일월,명사,Noun,1,False
싱겁다,형용사,Adjective,1,False
싸다,형용사,Adjective,1,False
쓰다,형용사,Adjective,1,False
쓰다,동사,Verb,1,True
쓰다,동사,Verb,1,True
씨,의존명사,Noun,1,False
씻다,동사,Verb,1,False
아,감탄사,Exclamation,1,False
아기,명사,Noun,1,False
아내,명사,Noun,1,False
아니다,형용사,Adjective,1,False
아니요,감탄사,Exclamation,1,False
아래,명사,Noun,1,False
아르바이트,명사,Noun,1,False
아름답다,형용사,Adjective,1,False
아버지,명사,Noun,1,False
아이,명사,Noun,1,False
아이스크림,명사,Noun,1,False
아저씨,명사,Noun,1,False
아주,부사,Adverb,1,False
아주머니,명사,Noun,1,False
아직,부사,Adverb,1,False
아침,명사,Noun,1,False
아파트,명사,Noun,1,False
아프다,형용사,Adjective,1,False
아홉,관형사,Determiner,1,False
아홉,수사,Noun,1,False
아흔,관형사,Determiner,1,False
아흔,수사,Noun,1,False
안,부사,Adverb,1,False
안,명사,Noun,1,False
안경,명사,Noun,1,False
안내,명사,Noun,1,False
안녕,감탄사,Exclamation,1,False
안녕히,부사,Adverb,1,False
앉다,동사,Verb,1,False
알다,동사,Verb,1,False
알리다,동사,Verb,1,False
앞,명사,Noun,1,False
야구,명사,Noun,1,False
약,관형사,Determiner,1,False
약,명사,Noun,1,False
약국,명사,Noun,1,False
약속,명사,Noun,1,False
어느,관형사,Determiner,1,False
어디,대명사,Noun,1,False
어떤,관형사,Determiner,1,False
어떻다,형용사,Adjective,1,False
어렵다,형용사,Adjective,1,False
어머니,명사,Noun,1,False
